"EFF_DATE","REGULATORY","AWY_LOCATION","AWY_ID","POINT_SEQ","SEG_VALUE","SEG_TYPE","NAV_NAME","NAV_CITY","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","NEXT_SEG","MAG_COURSE","OPP_MAG_COURSE","MAG_COURSE_DIST","CHGOVR_PT","CHGOVR_PT_NAME","CHGOVR_PT_DIST","AWY_SEG_GAP_FLAG","SIGNAL_GAP_FLAG","DOGLEG","REMARK"
"2023/11/30","Y","A","A1",10,"U.S. CANADIAN BORDER-4","","","","","","","CFMTL",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",20,"CFMTL","CN   ","","","K1","WA","US","CFQCB",222.98,42.58,22.62,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",30,"CFQCB","CN   ","","","K1","WA","US","U.S. CANADIAN BORDER-2",,,,"","",,"Y","N","N",""
"2023/11/30","Y","A","A1",40,"U.S. CANADIAN BORDER-2","","","","","","","U.S. CANADIAN BORDER-5",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",50,"U.S. CANADIAN BORDER-5","","","","","","","BBGVP",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",60,"BBGVP","CN   ","","","PA","AK","US","SIT",309.91,127.91,159.46,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",70,"SIT","NDB","SITKA","SITKA","","AK","US","SPARL",302.3,118.73,105.08,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",80,"SPARL","RP   ","","","PA","AK","US","OCC",302.3,118.73,104.34,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",90,"OCC","NDB","OCEAN CAPE","YAKUTAT","","AK","US","ATAGA",262.99,80.49,89.67,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",100,"ATAGA","RP   ","","","PA","AK","US","CAPEM",271.44,88,14.78,"","",,"N","N","Y",""
"2023/11/30","Y","A","A1",110,"CAPEM","RP   ","","","PA","AK","US","CORVA",271.44,88,68.6,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",120,"CORVA","RP   ","","","PA","AK","US","EGGER",271.44,88,15.42,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",130,"EGGER","RP   ","","","PA","AK","US","ALJ",271.44,88,26.21,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",140,"ALJ","NDB","ORCA BAY","HINCHINBROOK","","AK","US","VTR",,,,"","",,"Y","N","N",""
"2023/11/30","Y","A","A1",150,"VTR","NDB","TAKOTNA RIVER","MC GRATH","","AK","US","JNR",278.54,98.84,152.98,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",160,"JNR","NDB","NORTH RIVER","UNALAKLEET","","AK","US","FDV",277.67,93.62,123.28,"","",,"N","N","N",""
"2023/11/30","Y","A","A1",170,"FDV","NDB","FORT DAVIS","NOME","","AK","US","",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",10,"U.S. CANADIAN BORDER-5","","","","","","","HWTCC",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",20,"HWTCC","CN   ","","","PA","AK","US","ICK",311.88,131.57,25.97,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",30,"ICK","NDB","NICHOLS","ANNETTE ISLAND","","AK","US","SQM",311.5,128.26,97.87,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",40,"SQM","NDB","SUMNER STRAIT","LEVEL ISLAND","","AK","US","WUBDO",316.15,134.8,42.19,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",50,"WUBDO","RP   ","","","PA","AK","US","RADKY",316.15,134.8,68.04,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",60,"RADKY","RP   ","","","PA","AK","US","CGL",316.15,134.8,15,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",70,"CGL","NDB","COGHLAN ISLAND","COGHLAN ISLAND","","AK","US","HNS",316.31,135.68,56.15,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",80,"HNS","NDB","HAINES","HAINES","","AK","US","MAGNM",301.87,121.3,32.79,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",90,"MAGNM","WP   ","","","PA","AK","US","U.S. CANADIAN BORDER-3",,,,"","",,"Y","N","N",""
"2023/11/30","Y","A","A15",100,"U.S. CANADIAN BORDER-3","","","","","","","U.S. CANADIAN BORDER-2",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",110,"U.S. CANADIAN BORDER-2","","","","","","","DUVOT",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",120,"DUVOT","RP   ","","","PA","AK","US","AES",298.87,118.06,37.91,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",130,"AES","NDB","NABESNA","NORTHWAY","","AK","US","DJN",284.15,100.77,120.43,"","",,"N","N","N",""
"2023/11/30","Y","A","A15",140,"DJN","NDB","DELTA JUNCTION","DELTA JUNCTION","","AK","US","",,,,"","",,"N","N","N",""
"2023/11/30","Y","C","A16",10,"AP","NDB","ACTIVE PASS","ACTIVE PASS","","","CA","WC",53.79,234.2,22.72,"","",,"N","N","N","FOR THAT AIRSPACE OVER U.S. TERRITORY"
"2023/11/30","Y","C","A16",20,"WC","NDB","WHITE ROCK","ABBOTSFORD","","","CA","",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A17",10,"CUN","NDB","CHENA","FAIRBANKS","","AK","US","CQR",335.03,149.14,162.15,"","",,"N","N","N",""
"2023/11/30","Y","A","A17",20,"CQR","NDB","CHANDALAR LAKE","CHANDALAR LAKE","","AK","US","PVQ",338.38,163.43,163.86,"","",,"N","N","N",""
"2023/11/30","Y","A","A17",30,"PVQ","NDB","PUT RIVER","DEADHORSE","","AK","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A216",10,"MONPI","WP   ","","","P","OP","US","OATSS",163.24,342.06,269.2,"","",,"N","N","N",""
"2023/11/30","N","C","A216",20,"OATSS","WP   ","","","P","OP","US","RIDLL",161.62,341.44,43.21,"","",,"N","N","N",""
"2023/11/30","N","C","A216",30,"RIDLL","WP   ","","","P","OP","US","LOEBB",177.05,355.97,229.1,"","",,"N","N","N",""
"2023/11/30","N","C","A216",40,"LOEBB","WP   ","","","P","OP","US","HOOVR",175.97,355.35,139.29,"","",,"N","N","N",""
"2023/11/30","N","C","A216",50,"HOOVR","WP   ","","","P","OP","US","GALEE",170.01,348.74,297.19,"","",,"N","N","N",""
"2023/11/30","N","C","A216",60,"GALEE","WP   ","","","P","OP","US","FACED",173.31,352.23,299.42,"","",,"N","N","N",""
"2023/11/30","N","C","A216",70,"FACED","WP   ","","","P","OP","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A220",10,"MAEVA","WP   ","","","P","OP","US","CRONN",13.96,194.2,341.03,"","",,"N","N","N",""
"2023/11/30","N","C","A220",20,"CRONN","WP   ","","","P","OP","US","BINGE",14.2,194.28,504.35,"","",,"N","N","N",""
"2023/11/30","N","C","A220",30,"BINGE","WP   ","","","P","OP","US","AHNDO",14.76,194.87,524.93,"","",,"N","N","N",""
"2023/11/30","N","C","A220",40,"AHNDO","WP   ","","","P","OP","US","MANEY",13.4,193.95,498.05,"","",,"N","N","N",""
"2023/11/30","N","C","A220",50,"MANEY","WP   ","","","P","OP","US","MAFIC",13.95,194.64,255.06,"","",,"N","N","N",""
"2023/11/30","N","C","A220",60,"MAFIC","WP   ","","","P","OP","US","CINNY",15.73,195.84,30.15,"","",,"N","N","N",""
"2023/11/30","N","C","A220",70,"CINNY","WP   ","","","P","OP","US","",194.48,14.39,30.15,"","",,"N","N","N",""
"2023/11/30","N","C","A221",10,"CULPS","RP   ","","","P","MP","US","ERTTS",21.69,201.74,11,"","",,"N","N","N",""
"2023/11/30","N","C","A221",20,"ERTTS","RP   ","","","PG","GU","US","MONIE",21.74,201.79,13,"","",,"N","N","N",""
"2023/11/30","N","C","A221",30,"MONIE","RP   ","","","P","MP","US","LULJY",21.79,201.92,28,"","",,"N","N","N",""
"2023/11/30","N","C","A221",40,"LULJY","RP   ","","","PG","GU","US","HEXUG",21.9,201.9,3,"","",,"N","N","N",""
"2023/11/30","N","C","A221",50,"HEXUG","RP   ","","","P","OP","US","WILLE",21.92,201.96,7.97,"","",,"N","N","N",""
"2023/11/30","N","C","A221",60,"WILLE","RP   ","","","PG","GU","US","",,,,"","",,"N","N","N",""
"2023/11/30","N","C","A222",10,"UNZ","VORTAC","NIMITZ","AGANA","","GU","US","CLANS",112.15,291.89,100.23,"","",,"N","N","N",""
"2023/11/30","N","C","A222",20,"CLANS","WP   ","","","P","OP","US","AXIDE",111.79,291.67,43.61,"","",,"N","N","N",""
"2023/11/30","N","C","A222",30,"AXIDE","WP   ","","","P","OP","US","FIBSS",111.69,291.36,114.28,"","",,"N","N","N",""
"2023/11/30","N","C","A222",40,"FIBSS","WP   ","","","P","OP","US","KRONK",111.35,290.24,349,"","",,"N","N","N",""
"2023/11/30","N","C","A222",50,"KRONK","WP   ","","","P","OP","US","ADUFO",116.69,295.76,249.32,"","",,"N","N","N",""
"2023/11/30","N","C","A222",60,"ADUFO","MR   ","","","K2","","FM","PNI",114.35,294.4,30,"","",,"N","N","N",""
"2023/11/30","N","C","A222",70,"PNI","NDB/DME","POHNPEI","POHNPEI ISLAND","","","FM","AXTEN",102.9,282.79,30,"","",,"N","N","N",""
"2023/11/30","N","C","A222",80,"AXTEN","WP   ","","","K2","","FM","UKS",102.79,281.94,270.36,"","",,"N","N","N",""
"2023/11/30","N","C","A222",90,"UKS","NDB/DME","KOSRAE","KOSRAE ISLAND","","","FM","STEFF",47.3,227.29,168.46,"","",,"N","N","N",""
"2023/11/30","N","C","A222",100,"STEFF","WP   ","","","P","OP","US","NDJ",47.27,227.35,180.02,"","",,"N","N","N",""
"2023/11/30","N","C","A222",110,"NDJ","NDB","BUCHOLZ","KWAJALEIN","","","MH","",,,,"","",,"N","N","N",""
"2023/11/30","Y","A","A3",10,"EAV","NDB","EVANSVILLE","BETTLES","","AK","US","JEVUM",357.62,183.55,15.87,"","",,"N","N","N",""
