"EFF_DATE","DP_NAME","DP_COMPUTER_CODE","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC"
"2023/11/30","ACCRA","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",10,"ACCRA","K5","WP   ","HHHUL","57C, BUU, ENW, ETB, HXF, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC, RAC, UES"
"2023/11/30","ACCRA","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",20,"HHHUL","K5","WP   ","LVENS","57C, BUU, ENW, ETB, HXF, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC, RAC, UES"
"2023/11/30","ACCRA","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",30,"LVENS","K5","WP   ","KAJJY","57C, BUU, ENW, ETB, HXF, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC, RAC, UES"
"2023/11/30","ACCRA","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",40,"KAJJY","K5","WP   ","WENUL","57C, BUU, ENW, ETB, HXF, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC, RAC, UES"
"2023/11/30","ACCRA","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",50,"WENUL","K5","WP   ","FANZI","57C, BUU, ENW, ETB, HXF, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC, RAC, UES"
"2023/11/30","ACCRA","ACCRA5.ACCRA","BODY","FANZI-ACCRA",1,"",60,"FANZI","K5","WP   ","","57C, BUU, ENW, ETB, HXF, MKE/01L, MKE/01R, MKE/07L, MKE/07R, MKE/13, MKE/19L, MKE/19R, MKE/25L, MKE/25R, MKE/31, MWC, RAC, UES"
"2023/11/30","ACONY","ACONY3.ACONY","BODY","ACONY-PALDE",1,"",10,"PALDE","K","WP   ","ACONY","SJU/08, SJU/10, SJU/26, SJU/28"
"2023/11/30","ACONY","ACONY3.ACONY","BODY","ACONY-PALDE",1,"",20,"ACONY","K","WP   ","","SJU/08, SJU/10, SJU/26, SJU/28"
"2023/11/30","ACONY","ACONY3.ACONY","TRANSITION","SAPPO TRANSITION",,"ACONY3.SAPPO",10,"SAPPO","K","WP   ","PALDE",""
"2023/11/30","ACONY","ACONY3.ACONY","TRANSITION","SAPPO TRANSITION",,"ACONY3.SAPPO",20,"PALDE","K","WP   ","",""
"2023/11/30","ADAMM","ADAMM3.ADAMM","BODY","ADAMM",1,"",10,"ADAMM","K2","RP   ","","VNY/16L, VNY/16R, VNY/34L, VNY/34R"
"2023/11/30","ADELL","ADELL6.ADELL","BODY","ACITO-ADELL",1,"",10,"ADELL","K5","WP   ","ACITO","ARR/09, ARR/15, ARR/18, ARR/27, ARR/33, ARR/36, DPA/02L, DPA/02R, DPA/10, DPA/15, DPA/20L, DPA/20R, DPA/28, DPA/33, GYY/02, GYY/12, GYY/20, GYY/30, LOT/02, LOT/09, LOT/20, LOT/27"
"2023/11/30","ADELL","ADELL6.ADELL","BODY","ACITO-ADELL",1,"",20,"ACITO","K5","WP   ","","ARR/09, ARR/15, ARR/18, ARR/27, ARR/33, ARR/36, DPA/02L, DPA/02R, DPA/10, DPA/15, DPA/20L, DPA/20R, DPA/28, DPA/33, GYY/02, GYY/12, GYY/20, GYY/30, LOT/02, LOT/09, LOT/20, LOT/27"
"2023/11/30","ADELL","ADELL6.ADELL","TRANSITION","AKMIE TRANSITION",,"ADELL6.AKMIE",10,"AKMIE","K5","WP   ","ADELL",""
"2023/11/30","ADELL","ADELL6.ADELL","TRANSITION","AKMIE TRANSITION",,"ADELL6.AKMIE",20,"ADELL","K5","WP   ","",""
"2023/11/30","ADELL","ADELL6.ADELL","TRANSITION","ARLYN TRANSITION",,"ADELL6.ARLYN",10,"ARLYN","K5","WP   ","AKMIE",""
"2023/11/30","ADELL","ADELL6.ADELL","TRANSITION","ARLYN TRANSITION",,"ADELL6.ARLYN",20,"AKMIE","K5","WP   ","ADELL",""
"2023/11/30","ADELL","ADELL6.ADELL","TRANSITION","ARLYN TRANSITION",,"ADELL6.ARLYN",30,"ADELL","K5","WP   ","",""
"2023/11/30","ADEXE","ADEXE1.ADEXE","BODY","ADEXE",1,"",10,"ADEXE","K1","WP   ","","MAN/11"
"2023/11/30","ADYOS","ADYOS3.ADYOS","BODY","ABQ-ADYOS",1,"",10,"ADYOS","K2","WP   ","ABQ","ABQ/26"
"2023/11/30","ADYOS","ADYOS3.ADYOS","BODY","ABQ-ADYOS",1,"",20,"ABQ","","VORTAC","","ABQ/26"
"2023/11/30","ADYOS","ADYOS3.ADYOS","BODY","ASTAH-ADYOS",1,"",10,"ADYOS","K2","WP   ","LVSTA","ABQ/21"
"2023/11/30","ADYOS","ADYOS3.ADYOS","BODY","ASTAH-ADYOS",1,"",20,"LVSTA","K2","WP   ","ASTAH","ABQ/21"
"2023/11/30","ADYOS","ADYOS3.ADYOS","BODY","ASTAH-ADYOS",1,"",30,"ASTAH","K2","WP   ","","ABQ/21"
"2023/11/30","ADYOS","ADYOS3.ADYOS","TRANSITION","GALLUP TRANSITION",,"ADYOS3.GUP",10,"GUP","","VORTAC","BUSLE",""
"2023/11/30","ADYOS","ADYOS3.ADYOS","TRANSITION","GALLUP TRANSITION",,"ADYOS3.GUP",20,"BUSLE","K2","WP   ","BABYY",""
"2023/11/30","ADYOS","ADYOS3.ADYOS","TRANSITION","GALLUP TRANSITION",,"ADYOS3.GUP",30,"BABYY","K2","WP   ","ADYOS",""
"2023/11/30","ADYOS","ADYOS3.ADYOS","TRANSITION","GALLUP TRANSITION",,"ADYOS3.GUP",40,"ADYOS","K2","WP   ","",""
"2023/11/30","ADYOS","ADYOS3.ADYOS","TRANSITION","ZUNI TRANSITION",,"ADYOS3.ZUN",10,"ZUN","","VORTAC","PNYON",""
"2023/11/30","ADYOS","ADYOS3.ADYOS","TRANSITION","ZUNI TRANSITION",,"ADYOS3.ZUN",20,"PNYON","K2","WP   ","ADYOS",""
"2023/11/30","ADYOS","ADYOS3.ADYOS","TRANSITION","ZUNI TRANSITION",,"ADYOS3.ZUN",30,"ADYOS","K2","WP   ","",""
"2023/11/30","AEROZ","AEROZ2.AEROZ","BODY","AMUSE-AEROZ",1,"",10,"AEROZ","K4","WP   ","AMUSE","3R9, AUS, EDC, GTU, HYI, RYW, T74"
"2023/11/30","AEROZ","AEROZ2.AEROZ","BODY","AMUSE-AEROZ",1,"",20,"AMUSE","K4","RP   ","","3R9, AUS, EDC, GTU, HYI, RYW, T74"
"2023/11/30","AEROZ","AEROZ2.AEROZ","TRANSITION","SAN ANGELO TRANSITION",,"AEROZ2.SJT",10,"SJT","","VORTAC","AEROZ",""
"2023/11/30","AEROZ","AEROZ2.AEROZ","TRANSITION","SAN ANGELO TRANSITION",,"AEROZ2.SJT",20,"AEROZ","K4","WP   ","",""
"2023/11/30","AFTON","AFTON4.GIGSE","BODY","WOLEN-GIGSE",1,"",10,"GIGSE","K1","RP   ","FRIDM","AFO/34"
"2023/11/30","AFTON","AFTON4.GIGSE","BODY","WOLEN-GIGSE",1,"",20,"FRIDM","K1","WP   ","WOLEN","AFO/34"
"2023/11/30","AFTON","AFTON4.GIGSE","BODY","WOLEN-GIGSE",1,"",30,"WOLEN","K1","WP   ","","AFO/34"
"2023/11/30","AGERS","AGERS1.AGERS","BODY","DREDS-AGERS",1,"",10,"AGERS","K7","WP   ","SHELZ","FLL/28L, FLL/28R"
"2023/11/30","AGERS","AGERS1.AGERS","BODY","DREDS-AGERS",1,"",20,"SHELZ","K7","WP   ","DREDS","FLL/28L, FLL/28R"
"2023/11/30","AGERS","AGERS1.AGERS","BODY","DREDS-AGERS",1,"",30,"DREDS","K7","WP   ","","FLL/28L, FLL/28R"
"2023/11/30","AGERS","AGERS1.AGERS","BODY","LLBOW-AGERS",1,"",10,"AGERS","K7","WP   ","LRICK","FLL/10L, FLL/10R"
"2023/11/30","AGERS","AGERS1.AGERS","BODY","LLBOW-AGERS",1,"",20,"LRICK","K7","WP   ","YOLOO","FLL/10L, FLL/10R"
"2023/11/30","AGERS","AGERS1.AGERS","BODY","LLBOW-AGERS",1,"",30,"YOLOO","K7","WP   ","ROOOM","FLL/10L, FLL/10R"
"2023/11/30","AGERS","AGERS1.AGERS","BODY","LLBOW-AGERS",1,"",40,"ROOOM","K7","WP   ","LLBOW","FLL/10L, FLL/10R"
"2023/11/30","AGERS","AGERS1.AGERS","BODY","LLBOW-AGERS",1,"",50,"LLBOW","K7","WP   ","","FLL/10L, FLL/10R"
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","DUCEN TRANSITION",,"AGERS1.DUCEN",10,"DUCEN","K7","WP   ","SEAZY",""
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","DUCEN TRANSITION",,"AGERS1.DUCEN",20,"SEAZY","K7","WP   ","ENWOD",""
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","DUCEN TRANSITION",,"AGERS1.DUCEN",30,"ENWOD","K7","WP   ","MMART",""
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","DUCEN TRANSITION",,"AGERS1.DUCEN",40,"MMART","K7","WP   ","AARPS",""
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","DUCEN TRANSITION",,"AGERS1.DUCEN",50,"AARPS","K7","RP   ","PERTS",""
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","DUCEN TRANSITION",,"AGERS1.DUCEN",60,"PERTS","K7","RP   ","AGERS",""
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","DUCEN TRANSITION",,"AGERS1.DUCEN",70,"AGERS","K7","WP   ","",""
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","HURGI TRANSITION",,"AGERS1.HURGI",10,"HURGI","K7","WP   ","AGERS",""
"2023/11/30","AGERS","AGERS1.AGERS","TRANSITION","HURGI TRANSITION",,"AGERS1.HURGI",20,"AGERS","K7","WP   ","",""
"2023/11/30","AHEHU","AHEHU3.AHEHU","BODY","OMIXE-AHEHU",1,"",10,"AHEHU","K1","WP   ","OMIXE","SMN/35"
"2023/11/30","AHEHU","AHEHU3.AHEHU","BODY","OMIXE-AHEHU",1,"",20,"OMIXE","K1","WP   ","","SMN/35"
"2023/11/30","AHEHU","AHEHU3.AHEHU","TRANSITION","FANID TRANSITION",,"AHEHU3.FANID",10,"FANID","K1","RP   ","AHEHU",""
"2023/11/30","AHEHU","AHEHU3.AHEHU","TRANSITION","FANID TRANSITION",,"AHEHU3.FANID",20,"AHEHU","K1","WP   ","",""
"2023/11/30","AHEHU","AHEHU3.AHEHU","TRANSITION","FIPFE TRANSITION",,"AHEHU3.FIPFE",10,"FIPFE","K1","RP   ","AHEHU",""
"2023/11/30","AHEHU","AHEHU3.AHEHU","TRANSITION","FIPFE TRANSITION",,"AHEHU3.FIPFE",20,"AHEHU","K1","WP   ","",""
"2023/11/30","AHMET","AHMET4.KKIDS","BODY","AHMET-KKIDS",1,"",10,"KKIDS","K5","WP   ","AHMET","BKL/06L, BKL/06R, BKL/24L, BKL/24R, CGF/06, CGF/24, LNN/05, LNN/10, LNN/23, LNN/28, LPR/07, LPR/25"
"2023/11/30","AHMET","AHMET4.KKIDS","BODY","AHMET-KKIDS",1,"",20,"AHMET","K5","WP   ","","BKL/06L, BKL/06R, BKL/24L, BKL/24R, CGF/06, CGF/24, LNN/05, LNN/10, LNN/23, LNN/28, LPR/07, LPR/25"
"2023/11/30","AHMET","AHMET4.KKIDS","TRANSITION","ELLWOOD CITY TRANSITION",,"AHMET4.EWC",10,"EWC","","VOR/DME","ZAVEE",""
"2023/11/30","AHMET","AHMET4.KKIDS","TRANSITION","ELLWOOD CITY TRANSITION",,"AHMET4.EWC",20,"ZAVEE","K5","WP   ","KKIDS",""
"2023/11/30","AHMET","AHMET4.KKIDS","TRANSITION","ELLWOOD CITY TRANSITION",,"AHMET4.EWC",30,"KKIDS","K5","WP   ","",""
"2023/11/30","AHMET","AHMET4.KKIDS","TRANSITION","NUSMM TRANSITION",,"AHMET4.NUSMM",10,"NUSMM","K5","WP   ","KKIDS",""
"2023/11/30","AHMET","AHMET4.KKIDS","TRANSITION","NUSMM TRANSITION",,"AHMET4.NUSMM",20,"KKIDS","K5","WP   ","",""
"2023/11/30","AJOFY","AJOFY1.AJOFY","BODY","UWUHI-AJOFY",1,"",10,"AJOFY","PA","WP   ","UWUHI","CJX/32"
"2023/11/30","AJOFY","AJOFY1.AJOFY","BODY","UWUHI-AJOFY",1,"",20,"UWUHI","PA","WP   ","","CJX/32"
"2023/11/30","AKIAK","AKIAK1.BET","BODY","WEEKE-BET",1,"",10,"BET","","VORTAC","WEEKE","AKI/03, AKI/21"
"2023/11/30","AKIAK","AKIAK1.BET","BODY","WEEKE-BET",1,"",20,"WEEKE","PA","RP   ","","AKI/03, AKI/21"
"2023/11/30","AKUMY","AKUMY5.AKUMY","BODY","MUSDE-AKUMY",1,"",10,"AKUMY","PA","WP   ","AGEME","AKP/02"
"2023/11/30","AKUMY","AKUMY5.AKUMY","BODY","MUSDE-AKUMY",1,"",20,"AGEME","PA","WP   ","BOHNU","AKP/02"
"2023/11/30","AKUMY","AKUMY5.AKUMY","BODY","MUSDE-AKUMY",1,"",30,"BOHNU","PA","WP   ","INTON","AKP/02"
"2023/11/30","AKUMY","AKUMY5.AKUMY","BODY","MUSDE-AKUMY",1,"",40,"INTON","PA","WP   ","FIIAT","AKP/02"
"2023/11/30","AKUMY","AKUMY5.AKUMY","BODY","MUSDE-AKUMY",1,"",50,"FIIAT","PA","WP   ","MUSDE","AKP/02"
"2023/11/30","AKUMY","AKUMY5.AKUMY","BODY","MUSDE-AKUMY",1,"",60,"MUSDE","PA","WP   ","","AKP/02"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","AKUNA",1,"",10,"AKUNA","K4","WP   ","","DFW/31L, DFW/31R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","BPARK-AKUNA",1,"",10,"AKUNA","K4","WP   ","BEMMR","DFW/18L, DFW/18R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","BPARK-AKUNA",1,"",20,"BEMMR","K4","WP   ","BINGM","DFW/18L, DFW/18R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","BPARK-AKUNA",1,"",30,"BINGM","K4","WP   ","FIRMN","DFW/18L, DFW/18R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","BPARK-AKUNA",1,"",40,"FIRMN","K4","WP   ","YAMEL","DFW/18L, DFW/18R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","BPARK-AKUNA",1,"",50,"YAMEL","K4","WP   ","BPARK","DFW/18L, DFW/18R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","BPARK-AKUNA",1,"",60,"BPARK","K4","WP   ","","DFW/18L, DFW/18R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","CUZEN-AKUNA",1,"",10,"AKUNA","K4","WP   ","ITTTT","DFW/35C, DFW/35L"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","CUZEN-AKUNA",1,"",20,"ITTTT","K4","WP   ","CUZEN","DFW/35C, DFW/35L"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","CUZEN-AKUNA",1,"",30,"CUZEN","K4","WP   ","","DFW/35C, DFW/35L"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","HAZKL-AKUNA",1,"",10,"AKUNA","K4","WP   ","RYNNE","DFW/36L, DFW/36R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","HAZKL-AKUNA",1,"",20,"RYNNE","K4","WP   ","HAZKL","DFW/36L, DFW/36R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","HAZKL-AKUNA",1,"",30,"HAZKL","K4","WP   ","","DFW/36L, DFW/36R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","SPERA-AKUNA",1,"",10,"AKUNA","K4","WP   ","CMORE","DFW/17C, DFW/17R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","SPERA-AKUNA",1,"",20,"CMORE","K4","WP   ","BIGGD","DFW/17C, DFW/17R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","SPERA-AKUNA",1,"",30,"BIGGD","K4","WP   ","CORTS","DFW/17C, DFW/17R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","SPERA-AKUNA",1,"",40,"CORTS","K4","WP   ","JGIRL","DFW/17C, DFW/17R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","SPERA-AKUNA",1,"",50,"JGIRL","K4","WP   ","SPERA","DFW/17C, DFW/17R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","BODY","SPERA-AKUNA",1,"",60,"SPERA","K4","WP   ","","DFW/17C, DFW/17R"
"2023/11/30","AKUNA","AKUNA9.AKUNA","TRANSITION","MCALESTER TRANSITION",,"AKUNA9.MLC",10,"MLC","","TACAN","TIKYS",""
"2023/11/30","AKUNA","AKUNA9.AKUNA","TRANSITION","MCALESTER TRANSITION",,"AKUNA9.MLC",20,"TIKYS","K4","RP   ","AKUNA",""
"2023/11/30","AKUNA","AKUNA9.AKUNA","TRANSITION","MCALESTER TRANSITION",,"AKUNA9.MLC",30,"AKUNA","K4","WP   ","",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","BODY","SAT",1,"",10,"SAT","","VORTAC","","SAT/04, SAT/13L, SAT/13R, SAT/22, SAT/31L, SAT/31R, SSF/09, SSF/14, SSF/27, SSF/32"
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","GOBBY TRANSITION",,"ALAMO3.GOBBY",10,"GOBBY","K4","RP   ","SAT",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","GOBBY TRANSITION",,"ALAMO3.GOBBY",20,"SAT","","VORTAC","",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","GOOCH SPRINGS TRANSITION",,"ALAMO3.AGJ",10,"AGJ","","VORTAC","GOBBY",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","GOOCH SPRINGS TRANSITION",,"ALAMO3.AGJ",20,"GOBBY","K4","RP   ","SAT",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","GOOCH SPRINGS TRANSITION",,"ALAMO3.AGJ",30,"SAT","","VORTAC","",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","HENLY TRANSITION",,"ALAMO3.HENLY",10,"HENLY","K4","RP   ","SAT",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","HENLY TRANSITION",,"ALAMO3.HENLY",20,"SAT","","VORTAC","",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","JUMBO TRANSITION",,"ALAMO3.JUMBO",10,"JUMBO","K4","RP   ","SAT",""
"2023/11/30","ALAMO","ALAMO3.ALAMO","TRANSITION","JUMBO TRANSITION",,"ALAMO3.JUMBO",20,"SAT","","VORTAC","",""
"2023/11/30","ALCOS","ALCOS6.ALCOS","BODY","ALCOS",1,"",10,"ALCOS","K1","RP   ","","CPR/03, CPR/08, CPR/21, CPR/26"
"2023/11/30","ALCOS","ALCOS6.ALCOS","TRANSITION","CHEROKEE TRANSITION",,"ALCOS6.CKW",10,"CKW","","VOR/DME","ALCOS",""
"2023/11/30","ALCOS","ALCOS6.ALCOS","TRANSITION","CHEROKEE TRANSITION",,"ALCOS6.CKW",20,"ALCOS","K1","RP   ","",""
"2023/11/30","ALCOS","ALCOS6.ALCOS","TRANSITION","MEDICINE BOW TRANSITION",,"ALCOS6.MBW",10,"MBW","","VOR/DME","ALCOS",""
"2023/11/30","ALCOS","ALCOS6.ALCOS","TRANSITION","MEDICINE BOW TRANSITION",,"ALCOS6.MBW",20,"ALCOS","K1","RP   ","",""
"2023/11/30","ALEXANDRIA","AEX3.AEX","BODY","RAECN-AEX",1,"",10,"AEX","","VORTAC","VELCO","AXH/09, AXH/27, CXO, DWH, EFD, GLS/14, GLS/18, GLS/32, GLS/36, HOU/04, HOU/13L, HOU/13R, HOU/22, HOU/31L, HOU/31R, IAH, IWS, LBX, SGR/17, SGR/35, T41/05, T41/12, T41/23, T41/30, TME/18, TME/36"
