"EFF_DATE","STAR_COMPUTER_CODE","ROUTE_PORTION_TYPE","ROUTE_NAME","BODY_SEQ","TRANSITION_COMPUTER_CODE","POINT_SEQ","POINT","ICAO_REGION_CODE","POINT_TYPE","NEXT_POINT","ARPT_RWY_ASSOC"
"2023/11/30","AALAN.BLAID1","BODY","AALAN-BLAID",1,"",10,"BLAID","K2","RP   ","AALAN","LAS"
"2023/11/30","AALAN.BLAID1","BODY","AALAN-BLAID",1,"",20,"AALAN","K2","RP   ","","LAS"
"2023/11/30","AALAN.BLAID1","TRANSITION","BRYCE CANYON TRANSITION",,"BCE.BLAID1",10,"AALAN","K2","RP   ","HOLDM",""
"2023/11/30","AALAN.BLAID1","TRANSITION","BRYCE CANYON TRANSITION",,"BCE.BLAID1",20,"HOLDM","K2","RP   ","BCE",""
"2023/11/30","AALAN.BLAID1","TRANSITION","BRYCE CANYON TRANSITION",,"BCE.BLAID1",30,"BCE","","VORTAC","",""
"2023/11/30","AALAN.BLAID1","TRANSITION","PAGE TRANSITION",,"PGA.BLAID1",10,"AALAN","K2","RP   ","HOLDM",""
"2023/11/30","AALAN.BLAID1","TRANSITION","PAGE TRANSITION",,"PGA.BLAID1",20,"HOLDM","K2","RP   ","PGA",""
"2023/11/30","AALAN.BLAID1","TRANSITION","PAGE TRANSITION",,"PGA.BLAID1",30,"PGA","","VOR/DME","",""
"2023/11/30","AALLE.AALLE3","BODY","AALLE-CRUNK",1,"",10,"CRUNK","K2","WP   ","HEDDD","DEN/25, DEN/26"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-CRUNK",1,"",20,"HEDDD","K2","WP   ","AALLE","DEN/25, DEN/26"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-CRUNK",1,"",30,"AALLE","K2","WP   ","","DEN/25, DEN/26"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-DOGGG",1,"",10,"DOGGG","K2","WP   ","FFFAT","DEN/35L, DEN/35R"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-DOGGG",1,"",20,"FFFAT","K2","WP   ","FULLA","DEN/35L, DEN/35R"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-DOGGG",1,"",30,"FULLA","K2","WP   ","DEELO","DEN/35L, DEN/35R"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-DOGGG",1,"",40,"DEELO","K2","WP   ","HEDDD","DEN/35L, DEN/35R"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-DOGGG",1,"",50,"HEDDD","K2","WP   ","AALLE","DEN/35L, DEN/35R"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-DOGGG",1,"",60,"AALLE","K2","WP   ","","DEN/35L, DEN/35R"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-HAITR",1,"",10,"HAITR","K2","WP   ","HAZLT","DEN/07, DEN/08"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-HAITR",1,"",20,"HAZLT","K2","WP   ","JEPHF","DEN/07, DEN/08"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-HAITR",1,"",30,"JEPHF","K2","WP   ","DEELO","DEN/07, DEN/08"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-HAITR",1,"",40,"DEELO","K2","WP   ","HEDDD","DEN/07, DEN/08"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-HAITR",1,"",50,"HEDDD","K2","WP   ","AALLE","DEN/07, DEN/08"
"2023/11/30","AALLE.AALLE3","BODY","AALLE-HAITR",1,"",60,"AALLE","K2","WP   ","","DEN/07, DEN/08"
